,Component,Explained_Variance_Ratio,Cumulative_Variance_Ratio
0,1,0.39384694704160733,0.39384694704160733
1,2,0.23104727431209535,0.6248942213537027
2,3,0.06476299708240178,0.6896572184361044
3,4,0.05594866391276818,0.7456058823488726
4,5,0.04558495875729331,0.7911908411061659
5,6,0.03271193422134777,0.8239027753275137
6,7,0.030101145165643023,0.8540039204931567
7,8,0.022196758228814416,0.876200678721971
8,9,0.0218836597593859,0.8980843384813569
9,10,0.01967629727997185,0.9177606357613288
10,11,0.016426617132280427,0.9341872528936093
11,12,0.014160478245492224,0.9483477311391015
12,13,0.009183495482088851,0.9575312266211904
