,Random_Forest
0,0.24
1,0.15
2,0.2
3,0.34
4,0.18
5,0.3
6,0.15
7,0.19
8,0.32
9,0.26
10,0.26
11,0.27
12,0.12
13,0.09
14,0.36
15,0.27
16,0.23
17,0.22
18,0.17
19,0.17
20,0.12
21,0.32
22,0.23
23,0.21
24,0.15
25,0.16
26,0.23
27,0.12
28,0.31
29,0.24
30,0.2
31,0.35
32,0.25
33,0.23
34,0.21
35,0.11
36,0.25
37,0.29
38,0.27
39,0.17
40,0.31
41,0.18
42,0.23
43,0.23
44,0.2
45,0.41
46,0.27
47,0.18
48,0.19
49,0.12
50,0.22
51,0.13
52,0.22
53,0.26
54,0.36
55,0.23
56,0.17
57,0.2
58,0.22
59,0.24
60,0.18
61,0.21
62,0.14
63,0.28
64,0.2
65,0.16
66,0.17
67,0.28
68,0.28
69,0.22
70,0.08
71,0.18
72,0.15
73,0.32
74,0.3
75,0.23
76,0.32
77,0.36
78,0.11
79,0.18
80,0.25
81,0.31
82,0.28
83,0.34
84,0.23
85,0.29
86,0.15
87,0.19
88,0.26
89,0.25
90,0.14
91,0.15
92,0.2
93,0.34
94,0.16
95,0.21
96,0.09
97,0.24
98,0.2
99,0.17
100,0.29
101,0.22
102,0.23
103,0.27
104,0.16
105,0.15
106,0.22
107,0.22
108,0.24
109,0.1
110,0.19
111,0.29
112,0.2
113,0.26
114,0.27
115,0.21
116,0.26
117,0.14
118,0.25
119,0.23
120,0.28
121,0.29
122,0.12
123,0.23
124,0.17
125,0.19
126,0.17
127,0.16
128,0.42
129,0.2
130,0.17
131,0.27
132,0.2
133,0.18
134,0.2
135,0.16
136,0.28
137,0.33
138,0.25
139,0.15
140,0.17
141,0.11
142,0.26
143,0.28
144,0.1
145,0.14
146,0.22
147,0.22
148,0.29
149,0.27
150,0.16
151,0.24
152,0.29
153,0.19
154,0.25
155,0.29
156,0.16
157,0.21
158,0.16
159,0.19
160,0.25
161,0.17
162,0.18
163,0.16
164,0.18
165,0.11
166,0.21
167,0.17
168,0.23
169,0.3
170,0.3
171,0.36
172,0.26
173,0.21
174,0.2
175,0.29
176,0.17
177,0.18
178,0.11
179,0.21
180,0.26
181,0.24
182,0.32
183,0.32
184,0.22
185,0.26
186,0.21
187,0.28
188,0.28
189,0.22
190,0.25
191,0.23
192,0.26
193,0.24
194,0.13
195,0.25
196,0.21
197,0.22
198,0.23
199,0.21
200,0.28
201,0.01
202,0.03
203,0.0
204,0.0
205,0.0
206,0.03
207,0.01
208,0.0
209,0.01
210,0.01
211,0.14
212,0.03
213,0.0
214,0.0
215,0.01
216,0.27
217,0.26
218,0.12
219,0.29
220,0.15
221,0.16
222,0.19
223,0.15
224,0.13
225,0.15
226,0.19
227,0.28
228,0.24
229,0.19
230,0.12
231,0.22
232,0.21
233,0.3
234,0.22
235,0.23
236,0.33
237,0.15
238,0.25
239,0.31
240,0.16
241,0.25
242,0.04
243,0.03
244,0.01
245,0.0
246,0.01
247,0.0
248,0.04
249,0.01
250,0.03
251,0.11
252,0.05
253,0.01
254,0.03
255,0.0
256,0.22
257,0.16
258,0.31
259,0.21
260,0.27
261,0.25
262,0.27
263,0.23
264,0.3
265,0.2
266,0.27
267,0.18
268,0.18
269,0.17
270,0.17
271,0.19
272,0.25
273,0.2
274,0.24
275,0.2
276,0.2
277,0.15
